name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
Mobile Suit Gundam: The 08th MS Team - Miller's Report,2,0,1,44,36,1998,3,0,1,1,52,94,53,362,6.76,0
Mobile Suit Gundam 0083: Stardust Memory,2,0,2,17,44,1991,2,0,13,0,30,262,152,550,7.27,1
Mobile Suit Zeta Gundam,2,0,0,44,36,1985,1,0,50,0,24,571,166,1352,7.89,1
Mobile Suit Gundam ZZ,2,0,0,11,44,1986,1,0,47,0,24,236,162,582,6.65,0
Mobile Suit Gundam: Char's Counterattack,2,0,1,44,21,1988,1,0,1,0,119,325,125,596,7.67,1
Mobile Suit Gundam F91,2,0,1,44,21,1991,1,0,1,0,120,120,139,453,6.66,0
Mobile Suit Victory Gundam,2,0,0,44,21,1993,2,0,51,0,24,101,85,515,6.75,0
Mobile Suit Gundam Wing,2,0,0,34,44,1995,2,0,49,0,24,286,135,1187,7.71,1
Mobile Suit Gundam Wing: Endless Waltz,2,0,2,34,44,1997,1,0,3,0,30,83,40,459,7.75,1
After War Gundam X,2,0,0,17,44,1996,2,0,39,0,24,149,55,668,7.33,1
Mobile Suit Gundam SEED,1,0,0,34,44,2002,4,0,50,0,24,1157,180,2177,7.77,1
Mobile Suit Gundam SEED Destiny,1,0,0,34,44,2004,4,0,50,0,24,691,136,1054,7.19,1
Turn A Gundam,2,0,0,34,17,1999,2,0,50,0,24,173,61,1048,7.71,1
Mobile Fighter G Gundam,2,0,0,17,11,1994,2,0,49,0,24,111,70,763,7.56,1
Last Exile,2,11,0,34,17,2003,2,0,26,0,24,4144,592,9641,7.81,1
Mai-HiME,2,0,0,34,11,2004,3,0,26,0,23,862,315,2675,7.44,1
Mai-Otome,2,0,0,11,44,2005,4,0,26,0,24,457,170,993,7.29,1
Shin Shirayuki-hime Densetsu Pretear,2,19,0,15,11,2001,2,0,13,0,23,842,259,2388,7.18,1
Air,2,25,0,44,36,2005,1,0,12,0,24,2899,1056,5912,7.29,1
Aishiteruze Baby★★,2,29,0,15,11,2004,2,0,26,0,25,1359,363,2343,7.46,1
Akazukin Chacha,4,4,0,15,17,1994,1,0,74,0,24,33,10,357,7.39,1
Ayashi no Ceres,1,8,0,15,17,2000,2,0,24,0,21,526,251,2043,7.21,1
Boys Be...,2,19,0,37,11,2000,2,0,13,0,23,152,130,793,6.43,0
Hana yori Dango,2,3,0,15,44,1996,3,0,51,0,25,886,199,2202,7.66,1
Ou Dorobou Jing,2,12,0,37,17,2002,2,0,13,0,24,1238,253,2340,7.22,1
Ou Dorobou Jing in Seventh Heaven,2,12,2,37,17,2004,1,0,3,0,30,478,109,928,7.28,1
Bakuretsu Tenshi,2,11,0,17,11,2004,2,0,24,0,23,652,492,2480,6.8,0
Chuuka Ichiban!,2,6,0,37,34,1997,2,0,52,0,23,36,13,690,7.61,1
Corrector Yui,3,6,0,17,11,1999,2,0,52,0,25,5,0,270,6.83,0
Chou Henshin Cosprayers,2,30,0,34,17,2004,1,0,8,0,17,8,44,419,4.84,0
Uchuu no Stellvia,2,21,0,34,36,2003,2,0,26,0,23,230,80,790,7.37,1
Sakigake!! Cromartie Koukou,2,15,0,37,11,2003,4,0,26,0,12,1965,514,5040,7.91,1
El Hazard: The Alternative World,2,18,0,17,11,1998,1,0,13,0,25,66,54,328,6.82,0
El Hazard: The Wanderers,2,18,0,17,11,1995,4,0,26,0,23,124,72,599,6.96,0
El Hazard: The Magnificent World,2,18,2,17,11,1995,2,0,7,0,34,238,70,1101,7.29,1
El Hazard 2: The Magnificent World,2,18,2,17,11,1997,1,0,4,0,30,74,51,240,6.83,0
Final Approach,2,31,0,11,44,2004,4,0,13,0,14,165,185,690,6.54,0
Fruits Basket,2,12,0,15,11,2001,3,0,26,0,24,3736,1016,7632,7.68,1
Fullmetal Alchemist,1,1,0,37,34,2003,4,0,51,0,24,44118,3189,22654,8.13,1
Full Moon wo Sagashite,2,12,0,15,11,2002,2,0,52,0,24,901,135,2470,7.94,1
Fushigi Yuugi,2,8,0,15,17,1995,2,0,52,0,23,1230,277,3117,7.63,1
Fushigi Yuugi: Eikouden,2,8,2,15,17,2001,4,0,4,0,30,198,109,272,6.85,0
Futakoi,2,32,0,11,36,2004,4,0,13,0,24,168,166,965,6.47,0
Futakoi Alternative,2,33,0,11,44,2005,2,0,13,0,24,187,90,1296,6.89,0
Gate Keepers,2,11,0,37,34,2000,2,0,24,0,25,69,48,408,6.94,0
Gate Keepers 21,2,11,2,37,34,2002,2,0,6,0,30,21,15,272,6.77,0
Gensoumaden Saiyuuki,1,8,0,37,34,2000,2,0,50,0,23,336,85,2310,7.57,1
Saiyuuki Reload,2,8,0,25,34,2003,4,0,25,0,23,240,56,1110,7.39,1
Saiyuuki Reload Gunlock,2,8,0,25,34,2004,2,0,26,0,24,173,46,1125,7.41,1
GetBackers,2,12,0,37,34,2002,4,0,49,0,24,1231,323,5143,7.6,1
Green Green,0,34,0,11,36,2003,3,0,12,0,24,2073,1503,3119,6.18,0
Gunslinger Girl,1,2,0,34,44,2003,4,0,13,0,24,3357,1017,13437,7.4,1
Hikaru no Go,2,8,0,37,11,2001,4,0,75,0,23,4005,323,6076,8.09,1
Hunter x Hunter,2,6,0,37,34,1999,4,0,62,0,23,9162,598,12776,8.4,1
Hunter x Hunter: Original Video Animation,2,6,2,37,34,2002,1,0,8,0,24,3115,343,3397,8.32,1
Hunter x Hunter: Greed Island,2,6,2,37,34,2003,1,0,8,0,22,2966,338,2624,8.19,1
Hunter x Hunter: Greed Island Final,2,6,2,37,34,2004,1,0,14,0,24,2841,304,2668,8.27,1
Jinki:Extend,1,22,0,21,3,2005,1,0,12,0,23,170,194,607,6.11,0
Kamikaze Kaitou Jeanne,2,3,0,15,17,1999,1,0,44,0,24,510,88,1183,7.45,1
Kannazuki no Miko,2,35,0,37,44,2004,4,0,12,0,24,514,344,2177,6.84,0
Kanon,4,3,0,44,36,2002,1,0,13,0,24,736,307,2295,7.09,1
Kareshi Kanojo no Jijou,2,13,0,15,11,1998,4,0,26,0,24,3178,763,9382,7.6,1
Kono Minikuku mo Utsukushii Sekai,0,13,0,11,44,2004,2,0,12,0,24,526,344,2145,6.74,0
Kimi ga Nozomu Eien,0,36,0,44,36,2003,4,0,14,0,23,3301,1101,5990,7.21,1
Kita e.: Diamond Dust Drops,2,12,0,44,36,2004,1,0,12,0,24,54,35,588,6.61,0
Loveless,2,5,0,25,34,2005,2,0,12,0,24,2992,1785,4250,6.8,0
Blood+,1,15,0,34,44,2005,4,0,50,0,24,5667,1636,17155,7.64,1
Re: Cutey Honey,0,13,2,34,11,2004,3,0,3,0,46,274,103,1157,7.11,1
Solty Rei,1,11,0,34,21,2005,4,0,24,0,23,277,93,1183,7.27,1
Juuni Kokuki,2,8,0,34,17,2002,2,0,45,0,25,3668,621,11118,8.04,1
Shaman King,2,21,0,37,34,2001,3,0,64,0,23,32758,3556,11225,7.77,1
X/1999,1,2,1,34,44,1996,3,0,1,0,97,338,237,1464,6.57,0
X,0,2,0,15,34,2001,4,0,24,0,24,962,304,3404,7.42,1
Mahou Sensei Negima!,2,21,0,37,11,2005,1,0,26,0,23,1000,508,3758,6.95,0
Maria-sama ga Miteru,2,12,0,15,44,2004,1,0,13,0,24,697,262,3820,7.3,1
Boukyaku no Senritsu,2,13,0,37,17,2004,2,0,24,0,23,83,89,829,6.33,0
"Ima, Soko ni Iru Boku",1,18,0,17,44,1999,4,0,13,0,25,1131,391,6626,7.64,1
Peace Maker Kurogane,1,11,0,37,34,2003,4,0,24,0,24,600,166,3207,7.32,1
Pita Ten,4,2,0,37,11,2002,2,0,26,0,24,38,34,376,6.94,0
