name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
My Life As,5,350,2,11,6,1999,3,0,1,0,34,14,39,104,4.94,0
Miyamoto Musashi: Souken ni Haseru Yume,1,15,1,34,40,2009,2,0,1,0,72,105,83,840,6.37,0
Pico to Chico,5,170,2,19,-1,2007,2,0,1,0,36,1518,1479,528,4.38,0
Soushitsukyou,5,368,2,6,-1,2004,4,0,1,0,28,20,28,150,5.02,0
Nekketsu Saikyou Go-Saurer,2,0,0,34,21,1993,1,0,51,0,23,2,0,45,6.9,0
Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen,2,0,2,3,-1,1997,4,0,2,0,29,2,0,68,5.88,0
Usavich III,2,322,0,11,-1,2008,4,0,13,0,1,275,123,123,7.1,1
Masaru Ashita no Yukinojou 2,5,46,2,41,-1,2003,3,0,2,0,26,8,2,72,5.47,0
Shuuchuu Chiryou Shitsu,5,112,2,41,-1,2004,3,0,2,0,30,7,8,94,5.55,0
Mahou no Shiho-chan,5,18,2,41,-1,1996,4,0,2,0,26,9,14,134,5.26,0
Mahou Shoujo Sae,5,154,2,41,-1,2006,2,0,2,0,29,12,43,105,5.52,0
Maid Meshimase,5,269,2,41,-1,2001,4,0,1,0,28,7,14,59,4.53,0
Jii Tousaku,5,47,2,41,-1,2002,3,0,2,0,28,32,15,121,5.59,0
Princess Holiday: Korogaru Ringo Tei Senya Ichiya,5,43,2,0,41,2004,1,0,2,0,28,4,3,68,5.37,0
Suika: Manatsu no Okurimono,5,47,2,44,0,2004,2,0,1,0,14,21,16,86,5.85,0
La Rose de Versailles,4,3,3,44,36,2007,1,0,1,1,4,29,20,348,5.61,0
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,2,67,3,11,47,2009,2,0,1,0,31,198,52,326,7.51,1
Kemono no Souja Erin,2,15,0,44,0,2009,1,0,50,0,25,1067,119,6441,8.34,1
Ark,2,369,1,34,0,2005,2,0,1,1,89,24,7,80,5.99,0
Mogitate Marina-chan,5,293,2,41,-1,1999,4,0,1,0,28,12,5,75,5.21,0
Oppai Life,5,112,2,41,-1,2008,4,0,2,0,26,59,54,240,6.58,0
Ikusa Otome Valkyrie 2,5,103,2,0,43,2008,3,0,3,0,29,47,53,199,6.47,0
Ooedo Forty Eight,5,152,2,41,40,2007,3,0,3,0,27,14,11,76,5.69,0
Ougon Yuusha Goldran,4,0,0,37,34,1995,1,0,48,0,24,5,0,118,6.85,0
A-Girl,2,2,2,15,36,1993,3,0,1,1,31,21,20,193,5.58,0
Chibi Kero: Kerobouru no Himitsu!?,4,0,3,11,-1,2007,1,0,1,0,17,6,4,42,6.19,0
Yoku Wakaru Gendai Mahou,2,24,0,11,-1,2009,3,0,12,0,24,208,213,1208,6.45,0
Saimin Jutsu The Animation 2nd,5,332,2,41,-1,2008,4,0,2,0,29,73,73,208,6.44,0
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,2,4,3,37,17,2002,1,0,1,0,23,33,10,250,7.11,1
Detective Conan Movie 13: The Raven Chaser,2,16,1,37,34,2009,2,0,1,1,111,265,34,636,8.22,1
Top wo Nerae! Kagaku Kouza,4,13,3,11,21,1988,4,0,6,0,2,67,92,206,6.11,0
Cafe Junkie,5,318,2,41,-1,2008,4,0,2,0,26,161,150,538,6.76,0
Mahoutsukai Tai! vs. Shamanic Princess,2,64,2,11,0,1998,1,0,1,1,5,9,6,125,5.67,0
Birthday Boy,4,47,1,34,44,2004,1,0,1,0,9,28,16,89,5.69,0
Kokoro Toshokan: Communication Clips,4,47,3,11,44,2002,1,0,1,1,5,12,5,52,5.68,0
Yobarete Tobidete Akubi-chan,4,61,0,20,11,2001,4,0,26,0,20,2,0,40,5.66,0
Time Bokan 2000: Kaitou Kiramekiman,2,61,0,34,17,2000,2,0,26,0,25,3,0,45,5.99,0
Fushigi na Melmo,3,139,0,15,-1,1971,4,0,26,0,24,6,1,66,6.14,0
Wagaya no Oinari-sama.: Kuu-chan no Omake Gekijou,2,47,3,37,17,2008,3,0,12,0,2,49,28,243,6.59,0
Shin Mazinger Shougeki! Z-hen,1,128,0,37,34,2009,2,0,26,0,23,62,21,753,7.68,1
Platonic Chain: Web,2,90,3,21,32,2003,3,0,1,0,15,7,0,39,5.58,0
Ranma ½: Akumu! Shunmin Kou,2,0,2,37,34,2008,3,0,1,0,32,138,39,306,7.52,1
Konnichiwa Anne: Before Green Gables,4,6,0,20,44,2009,2,0,39,0,20,75,12,671,7.61,1
Feng Yun Jue,2,370,1,34,17,2008,3,0,1,1,99,69,53,189,6.39,0
Gun x Sword-san,4,69,3,34,10,2005,4,0,13,0,4,13,34,155,5.71,0
Atagoal wa Neko no Mori,3,47,1,20,-1,2006,4,0,1,0,80,36,39,99,5.87,0
Shinkyoku Soukai Polyphonica Crimson S,2,119,0,44,0,2009,2,0,12,0,25,355,123,1407,7.16,1
Viper's Creed,2,53,0,34,21,2009,1,0,12,0,23,121,92,600,6.72,0
Senjou no Valkyria,2,213,0,34,36,2009,2,0,26,0,24,4033,782,7367,7.6,1
Wakusei Robo Danguard Ace: Uchuu Daikaisen,2,3,1,21,3,1978,1,0,1,1,25,4,0,41,5.66,0
Onegai My Melody Sukkiri♪,3,10,0,11,0,2007,2,0,52,0,10,2,0,162,6.94,0
Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,2,5,2,34,11,2009,1,0,1,0,27,417,167,611,7.32,1
Juuninin no Onna Kyoushi,5,155,2,41,-1,2008,2,0,2,0,29,16,38,139,5.72,0
07-Ghost,2,12,0,25,34,2009,2,0,25,0,23,3616,1135,6534,7.21,1
Pokemon: Pikachu no Natsuyasumi,3,14,1,20,11,1998,3,0,1,0,21,315,243,379,6.81,0
Pokemon: Odoru Pokemon Himitsu Kichi,3,14,1,20,11,2003,3,0,1,0,24,50,74,311,6.47,0
Pandora Hearts,2,21,0,37,17,2009,2,0,25,0,24,13611,2807,22870,7.68,1
Hai! Akko Desu,4,85,0,36,32,1988,4,0,164,0,25,3,0,68,6.51,0
Tottoi,4,6,1,20,17,1992,2,0,1,0,82,10,16,116,6.13,0
Tegamibachi: Hikari to Ao no Gensou Yawa,2,8,3,37,17,2008,4,0,1,0,27,372,93,963,7.46,1
Blassreiter: Navi,1,11,3,34,21,2008,2,0,1,0,18,59,50,351,6.3,0
Datenshi-tachi no Kyouen,5,47,2,41,-1,1985,1,0,1,0,21,5,12,62,4.99,0
The Satisfaction,5,47,2,41,-1,1984,4,0,1,0,21,8,2,44,4.95,0
Telepathist IQ Saiko,5,47,2,41,-1,1985,2,0,1,0,25,9,1,53,4.85,0
Under World,5,47,2,41,-1,2000,4,0,1,0,64,2,0,52,4.91,0
Suashi no Houkago,5,293,2,6,-1,1985,1,0,1,0,26,8,44,107,4.95,0
Heisei Jogakuen Kagai Lesson,5,269,2,41,-1,2001,2,0,1,0,20,9,13,57,4.81,0
Ecchi de Happy! Pin! Pin! Pin!,5,66,2,41,-1,1992,2,0,1,0,45,5,4,52,5.13,0
Kateikyoushi Bishounen Kari,5,269,2,41,-1,2001,4,0,1,0,19,5,14,78,4.51,0
69 Pink Riders,5,47,2,41,-1,2000,2,0,1,0,51,9,8,65,4.46,0
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,0,314,2,34,11,1994,4,0,1,0,46,31,50,112,5.37,0
Fujun Isei Kouyuu: Taisetsu na Kimi e,5,201,2,41,-1,2002,4,0,1,0,24,9,6,120,5.47,0
Shirouto Club: Hamedori Anime Kanzen Mushuusei!!,5,47,2,41,-1,2003,3,0,1,0,29,8,0,54,4.8,0
Rebiya,5,47,2,41,-1,2003,4,0,1,0,28,6,1,41,5.03,0
Love Forever,5,66,2,41,-1,2001,3,0,1,0,31,4,3,73,5.37,0
Eguchi Hisashi no Nantoka Narudesho!,0,2,2,15,11,1990,1,0,1,1,33,28,38,268,4.85,0
Suishou no Yoru: Aoi Kokuhaku yori,5,47,2,41,-1,2003,3,0,1,0,26,6,3,82,5.22,0
Moonlight Sonata,5,72,2,41,-1,2001,2,0,1,0,28,8,1,82,5.27,0
Kugutsu Ai: Doura Gaiden,5,293,2,41,-1,2001,3,0,1,0,28,4,0,52,5.33,0
Auction: Bijo Dorei,5,96,2,41,-1,2000,4,0,1,0,37,19,16,86,5.41,0
Nijuusou: Wana ni Ochita Onna-tachi,5,160,2,41,-1,2002,1,0,1,0,32,6,0,91,5.38,0
Aoi Kokuhaku,5,201,2,41,-1,2003,1,0,1,0,25,6,0,59,4.75,0
Yayoi,5,47,2,41,-1,1997,4,0,1,0,6,19,31,83,4.65,0
Chounouryoku Shoujo Barabanba,5,47,2,41,-1,1985,2,0,1,0,28,14,5,60,4.63,0
Age Man to Fuku Chin,5,189,2,41,-1,1991,4,0,1,0,29,6,6,54,4.9,0
Spiral Over,5,350,2,41,-1,1999,4,0,1,0,29,6,2,60,5.52,0
Harenchi Koumon Manyuuki,5,140,2,41,40,1996,2,0,1,0,44,6,15,93,5.22,0
Shachiku: Kuruma no Naka de Kattemasu,5,47,2,41,-1,2001,4,0,1,0,28,5,0,44,5.3,0
"Rinkan Gakuen: Yamete! ...Okaasan, Minaide!",5,154,2,41,-1,2005,3,0,1,0,27,13,71,212,5.37,0
Tsui no Sora,5,47,2,41,-1,2002,3,0,1,0,23,21,38,192,2.24,0
Binetsu Hime: Zange no Shou,5,340,2,41,-1,2001,1,0,1,0,29,10,2,79,5.07,0
Shining May,5,47,2,41,-1,1985,4,0,1,0,25,12,0,64,5.0,0
You Bishoujo Miruku-chan,5,47,2,41,-1,2002,2,0,1,0,31,9,8,77,5.1,0
Rhythm: Koi no Rhythm,5,142,2,41,-1,1998,2,0,2,0,31,9,1,56,4.95,0
Karakara-sama no Himitsu,5,47,2,41,-1,2001,4,0,1,0,30,7,1,47,5.25,0
Shimai Ningyou,5,371,2,41,-1,2006,2,0,1,0,31,14,49,122,5.48,0
Gosho Aoyama's Collection of Short Stories,2,29,3,37,17,1999,1,0,7,0,20,134,31,327,7.3,1
"Kaitei Daisensou: Ai no 20,000 Miles",4,61,3,34,17,1981,1,0,1,0,73,9,4,65,5.22,0
Sonic: Night of the WereHog,4,372,4,34,-1,2008,4,0,1,1,11,252,209,251,6.47,0
New Dream Hunter Rem: Setsuriku no Mudenmekyu,1,373,2,13,-1,1992,4,0,1,0,50,11,9,82,6.1,0
New Dream Hunter Rem: Yume no Kishitachi,0,47,2,13,-1,1990,4,0,1,0,37,13,12,105,6.16,0
Aoi Yousei,5,47,2,41,-1,2001,4,0,1,0,23,7,0,62,5.3,0
Shin Reyon Densetsu: Mou Hitori no Flair,5,374,2,41,-1,1999,3,0,1,0,39,9,9,62,5.18,0
Ko Ko Ro,5,47,2,41,-1,2001,4,0,2,0,28,6,9,43,5.35,0
Offside Girl,5,375,2,35,41,2007,2,0,2,0,15,7,24,137,4.05,0
Itoshi no Kotodama,5,229,2,41,-1,2002,3,0,2,0,30,10,7,80,5.56,0
Dogs: Bullets & Carnage,0,376,2,22,34,2009,2,0,4,0,15,3080,811,4859,7.33,1
Natsu no Arashi!,2,67,0,11,36,2009,2,0,13,0,23,704,203,3731,7.27,1
Little El Cid no Bouken,4,6,0,20,17,1984,1,0,26,0,25,5,0,38,6.25,0
Navia Dratp,2,193,4,0,-1,2005,3,0,5,0,2,11,0,42,4.88,0
Shin Ringetsu,5,113,2,44,43,2008,4,0,2,0,27,26,31,154,6.49,0
Concerto,5,47,2,41,-1,2001,3,0,2,0,30,8,1,55,5.19,0
Ryoujoku Joshi Gakuen,5,47,2,41,-1,2003,2,0,2,0,26,15,3,92,5.28,0
Love Machine: Animaid Shoufu 23-gou,5,47,2,41,-1,2002,2,0,2,0,28,10,1,90,5.36,0
Onna Kyoushi: Nikutai Jugyou,5,47,2,41,16,2004,1,0,2,0,27,15,13,102,5.4,0
Emi to Yobanaide,5,45,2,41,-1,1997,1,0,2,0,28,17,7,88,4.93,0
Rasen Kairou,5,96,2,41,-1,2002,2,0,2,0,27,10,4,87,5.38,0
Ayatsuri Ningyou,5,350,2,41,-1,1999,3,0,2,0,28,9,6,50,4.95,0
Terra Story,5,142,2,41,-1,1998,3,0,2,0,30,7,14,84,5.42,0
Ningyou no Yakata,5,18,2,41,-1,2003,3,0,2,0,26,9,21,106,5.55,0
Shikkaku Ishi,5,72,2,41,-1,2003,1,0,2,0,28,6,11,119,5.5,0
Dokonjou Gaeru,4,16,0,37,11,1972,4,0,103,0,25,2,0,56,6.41,0
Uchuu Enban Dai-Sensou,2,3,1,34,36,1975,3,0,1,1,29,16,9,83,5.63,0
Violence Gekiga David no Hoshi,5,47,2,41,-1,1989,4,0,4,0,41,6,3,65,5.13,0
The Chocolate Panic Picture Show,1,13,2,10,12,1985,3,0,1,0,25,10,33,151,4.41,0
Biohazard 4D-Executer,1,301,3,34,17,2000,1,0,1,0,20,53,183,176,5.42,0
21 Emon,4,55,0,11,21,1991,2,0,39,0,25,2,0,30,6.13,0
Choujuu Kishin Dancougar: Hakunetsu no Shuushou,2,78,2,21,3,1989,4,0,4,0,30,8,2,65,5.94,0
Higashi no Eden,1,15,0,34,44,2009,2,0,11,0,23,11527,2475,21378,7.79,1
Kaumori,4,47,1,44,38,1930,1,0,1,0,10,10,33,34,5.39,0
Nihonichi Momotarou,4,47,1,0,-1,1928,1,0,1,0,11,21,44,42,5.3,0
Restol: Teugsu Gujo Dae,4,47,0,34,17,1999,1,0,26,0,25,1,0,52,6.16,0
Tabidachi: Ami Shuushou,2,47,1,44,36,1986,2,0,1,0,39,11,3,143,5.57,0
Kimi no Na wo Yobeba,5,318,2,41,16,2008,4,0,2,0,27,86,83,358,6.37,0
"Sora no Iro, Mizu no Iro Ero Specials",5,154,2,41,-1,2006,3,0,2,0,10,53,53,173,6.68,0
Castle Fantasia: Seima Taisen,5,72,2,41,-1,2003,2,0,3,0,29,14,6,115,5.53,0
Deep Voice,5,72,2,41,-1,2002,2,0,3,0,30,11,6,78,5.28,0
Doukyuusei 2 (OVA) Special: Sotsugyousei,0,45,2,13,30,1999,3,0,3,0,28,10,2,90,5.16,0
Bouken Shite mo Ii Koro,0,189,2,22,11,1989,4,0,3,0,45,13,7,136,5.5,0
Injuu Onna Kyoushi,5,46,2,41,-1,1995,3,0,3,0,46,11,12,134,5.46,0
Helter Skelter: Hakudaku no Mura,5,318,2,41,-1,2009,1,0,4,3,28,106,76,360,6.68,0
Glass no Kantai: La Legende du Vent de l'Univers Specials,2,47,3,17,21,2007,1,0,2,0,24,10,1,75,6.14,0
Mahou Shoujo Ai San: The Anime,5,113,2,43,41,2009,1,0,3,0,26,42,48,159,6.22,0
PuriGorota: Uchuu no Yuujou Daibouken,3,5,2,20,17,2008,4,0,1,0,16,55,212,285,5.0,0
Great Mazinger,2,3,0,37,34,1974,3,0,56,0,25,11,6,168,7.06,1
Umi no Momotarou,4,47,1,38,-1,1932,1,0,1,0,2,7,36,24,4.72,0
Suteneko Tora-chan,4,344,1,5,-1,1947,3,0,1,0,20,28,12,56,5.76,0
G.T.R G-cup Teacher Rei,5,47,2,41,-1,2000,4,0,4,0,30,4,4,68,5.0,0
Keibiin,5,45,2,41,-1,2000,4,0,3,0,26,14,3,71,5.64,0
Shin Ruri-iro no Yuki,5,123,2,41,-1,2000,4,0,4,0,29,5,9,65,5.46,0
To LOVE-Ru OVA,0,21,2,37,11,2009,2,0,6,0,25,4583,1404,2448,7.28,1
GA: Geijutsuka Art Design Class,2,359,0,22,11,2009,3,0,12,0,24,125,51,871,7.14,1
Saki,2,11,0,32,4,2009,2,0,25,0,24,862,269,2907,7.47,1
Apfelland Monogatari,4,5,1,17,44,1992,4,0,1,0,90,32,34,251,6.03,0
Ashita no Yukinojou,5,46,2,36,35,2002,3,0,4,0,28,14,8,119,5.56,0
Basquash!,2,40,0,37,35,2009,2,0,26,0,24,967,293,2143,7.23,1
Kobato.,2,2,0,11,44,2009,4,0,24,0,24,2114,333,7569,7.96,1
K-On!,2,25,0,11,32,2009,2,0,13,0,24,29702,5595,19627,7.85,1
Summer Wars,2,2,1,11,21,2009,3,0,1,0,114,9421,1903,12939,8.04,1
Phantom: Requiem for the Phantom,1,17,0,22,34,2009,2,0,26,0,24,8008,1251,19799,7.98,1
Fresh Precure!,4,3,0,15,34,2009,1,0,50,0,25,112,30,492,7.36,1
Himekishi Angelica,5,361,2,41,-1,2008,1,0,2,0,28,50,69,238,6.27,0
Doura,5,47,2,41,-1,2001,2,0,4,0,28,6,0,57,4.82,0
Gegege no Kitarou (1968),4,3,0,17,11,1968,1,0,65,0,25,32,10,496,6.79,0
Eien no Filena,1,8,2,17,44,1992,4,0,6,0,27,16,25,172,5.67,0
Nodame Cantabile: Finale,2,5,0,25,11,2010,1,0,11,11,22,3853,250,4010,8.25,1
Rekka no Honoo: Final Burning,2,47,3,37,34,2004,2,0,1,0,32,13,6,136,7.05,1
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,2,25,0,34,0,2009,1,0,9,0,24,712,293,2325,7.11,1
Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,3,0,1,11,-1,2009,1,0,1,0,78,7,5,82,7.3,1
Tanoshii Muumin Ikka Bouken Nikki,4,212,0,20,17,1991,4,0,26,0,25,103,14,583,7.49,1
Minami-ke Betsubara,2,28,2,11,32,2009,2,0,1,0,25,766,135,679,7.5,1
Arcade Gamer Fubuki Extra,2,67,3,34,17,2008,2,0,1,0,6,9,19,70,4.67,0
Kiniro no Corda: Secondo Passo,2,54,3,15,30,2009,1,0,2,0,25,470,175,602,7.13,1
Sex Pistols,2,377,2,19,11,2010,1,0,2,0,33,652,370,627,6.55,0
Mobile Suit Gundam: More Information on the Universal Century,2,0,3,21,3,1996,4,0,10,0,3,12,19,301,6.09,0
Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,4,0,0,20,34,2008,1,0,30,0,24,1,0,42,6.36,0
Okusama wa Joshikousei,5,47,2,36,41,2001,4,0,1,0,20,12,18,149,5.27,0
Tayutama: Kiss on My Deity,2,378,0,36,43,2009,2,0,12,0,23,877,553,2113,6.75,0
Space Cobra Pilot,2,236,3,34,17,1981,4,0,1,0,23,55,48,168,6.44,0
Saimin Ryoujoku Gakuen,5,152,2,41,-1,2008,4,0,3,0,27,49,66,268,6.51,0
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,2,70,2,37,11,2009,2,0,4,0,24,249,56,360,7.62,1
Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,4,3,1,15,34,2009,1,0,1,0,70,54,16,237,7.28,1
Aoki Ryuusei SPT Layzner OVA,2,0,2,37,34,1986,3,0,3,0,55,12,5,132,6.77,0
Dororo to Hyakkimaru,1,139,0,37,34,1969,2,0,26,0,26,355,111,2325,7.22,1
15 Bishoujo Hyouryuuki,5,103,2,11,41,2009,3,0,3,1,26,317,199,723,6.79,0
Uchuu Kuubo Blue Noah,3,174,0,34,44,1979,4,0,24,0,26,7,1,101,6.5,0
Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,2,5,3,11,0,2008,4,0,1,0,23,3256,1223,1933,7.26,1
Akaneiro ni Somaru Saka: Hardcore,0,35,3,11,36,2009,2,0,1,0,26,340,306,502,6.4,0
69 Pink Riders 2,5,47,2,41,-1,2002,1,0,1,0,55,8,2,47,4.67,0
Seitokaichou ni Chuukoku,0,286,2,19,11,2009,4,0,2,0,30,1283,694,1162,6.97,0
Isekai no Seikishi Monogatari,0,53,2,34,11,2009,2,0,13,0,45,5143,881,8635,7.79,1
Koisuru Tenshi Angelique: Chibi Character Adventure,4,47,3,17,11,2006,3,0,1,0,4,9,3,84,5.97,0
Ai no Kusabi (2012),0,18,2,19,44,2012,1,0,4,0,25,810,456,1224,6.59,0
G-9,2,3,2,0,-1,2006,3,0,1,0,17,45,18,102,5.84,0
Kaede New Town,3,56,1,11,36,2007,4,0,1,0,28,5,0,28,5.13,0
Fantascope: Tylostoma,0,3,2,0,43,2006,3,0,1,0,34,136,56,903,6.78,0
Nezumi no Rusuban,4,47,1,34,-1,1931,1,0,1,0,1,9,28,23,4.49,0
Doubutsu Sumo Taikai,4,47,1,34,-1,1931,1,0,1,0,0,28,11,19,4.67,0
Urashima Tarou (1931),4,47,1,34,-1,1931,1,0,1,0,1,9,57,22,4.52,0
Dankichi-jima no Olympic Taikai,4,47,1,34,35,1932,1,0,1,0,2,11,34,18,4.28,0
Tori no Uta,2,3,2,0,-1,2007,1,0,1,0,34,124,84,930,6.44,0
Zenmai Zamurai,4,213,0,20,11,2006,2,0,215,0,5,4,0,45,5.8,0
Oira no Yakyuu,4,47,1,35,-1,1930,1,0,1,1,9,9,41,34,5.36,0
Kishin Douji Zenki Gaiden: Anki Kitan,0,12,2,34,43,1997,1,0,1,0,29,4,4,124,6.46,0
Blocker Gundan IV Machine Blaster,2,6,0,34,21,1976,3,0,38,0,23,2,0,35,5.88,0
Tsurupika Hagemaru-kun,3,55,0,20,11,1988,1,0,59,0,24,0,0,34,6.92,0
Tiger Mask Nisei,1,3,0,34,44,1981,2,0,33,0,24,13,6,158,7.29,1
Tondemo Senshi Muteking,2,61,0,34,11,1980,3,0,56,0,25,4,0,67,6.26,0
Kyojin no Hoshi,4,29,0,44,35,1968,1,0,182,0,25,8,2,170,6.82,0
Hanasakeru Seishounen,2,8,0,15,44,2009,2,0,39,0,24,2101,482,3672,7.72,1
Furudera no Obake-soudou,4,47,1,34,17,1936,1,0,1,0,5,19,9,25,5.08,0
Kotatsu Neko,4,379,4,11,-1,2005,1,0,2,0,1,25,31,45,5.73,0
Pokemon: Pikachu no Obake Carnival,3,14,3,20,17,2005,3,0,1,1,21,45,26,284,6.27,0
Pokemon: Pikachu no Natsumatsuri,3,14,3,20,34,2004,3,0,1,0,21,39,52,283,6.26,0
Cinnamon the Movie,4,2,1,0,-1,2007,4,0,1,0,45,15,6,91,6.4,0
Zettai Karen Children: Oobanburumai! Natsuko to Hotaru no B.A.B.E.L. Tsuushin,2,100,3,37,34,2009,1,0,1,0,24,24,5,264,6.39,0
Shin Chou Kyou Ryo: Condor Hero III,2,6,0,34,17,2008,2,0,26,0,20,7,0,211,7.29,1
Kiddy GiRL-AND Pilot,2,28,2,34,21,2007,2,0,1,0,6,17,6,150,6.7,0
Fumoon,2,107,3,21,-1,1980,3,0,1,0,86,12,9,78,5.85,0
Nanaka 6/17 Special,2,5,3,37,11,2003,2,0,1,0,25,13,2,57,6.58,0
Haru no Uta,4,47,1,5,-1,1931,1,0,1,0,3,15,35,26,4.47,0
Chou no Sainan,4,47,1,34,-1,1931,1,0,1,0,8,33,7,32,5.29,0
Hibari no Yadogae,4,47,1,34,-1,1933,1,0,1,0,4,10,22,25,4.86,0
Norakuro Nitouhei: Kyouren no Maki,4,47,1,34,17,1933,2,0,1,0,5,25,18,26,5.0,0
Doubutsu Mura no Sports Day,4,47,1,34,-1,1932,1,0,1,0,8,20,18,25,5.02,0
Tarou-san no Kisha,4,47,1,34,-1,1929,2,0,1,0,15,20,47,57,5.4,0
Sankou to Tako: Hyakumanryou Chinsoudou,4,47,1,34,-1,1933,1,0,1,0,15,15,15,26,5.09,0
Kobutori (1929),4,47,1,11,27,1929,4,0,1,0,10,27,36,56,5.9,0
Izumo,0,57,2,17,0,1991,3,0,2,1,51,10,5,93,5.75,0
Abunai Sisters: Koko & Mika,0,15,2,34,11,2009,1,0,10,2,3,8,20,84,2.42,0
Love Position: Halley Densetsu,2,107,2,0,21,1985,4,0,1,0,93,9,5,93,5.62,0
Oshiruko,4,379,4,11,-1,2005,1,0,1,0,1,11,20,40,5.04,0
Examurai Sengoku,2,29,0,34,21,2009,1,0,24,0,12,96,56,636,6.28,0
Kujira no Josephina,4,78,0,17,0,1979,2,0,23,0,25,1,0,39,6.08,0
Long Dao Qi Yuan,2,47,1,34,0,2005,1,0,1,0,84,22,27,63,5.62,0
Inko,5,329,2,6,-1,2005,3,0,3,0,10,42,76,230,5.61,0
Kousoku Denjin Albegus,3,3,0,3,-1,1983,1,0,45,0,25,2,0,78,6.76,0
Tistou Midori no Oyayubi,4,15,1,40,-1,1990,1,0,1,0,74,2,0,79,6.55,0
Jean Valjean Monogatari,4,3,3,44,-1,1979,3,0,1,0,69,5,0,102,6.14,0
Hyakujitsu no Bara,0,286,2,19,44,2009,2,0,2,0,24,861,557,766,6.56,0
B.B. Fish,0,15,2,22,44,1994,1,0,1,0,29,32,30,181,4.58,0
Mujigen Hunter Fandora,1,133,2,17,0,1985,3,0,3,0,40,17,12,110,5.55,0
Chinpui,4,15,0,11,-1,1989,1,0,56,0,25,3,0,46,6.08,0
Seitokai no Ichizon,2,12,0,11,30,2009,4,0,12,0,24,2000,680,5707,7.33,1
Kanamemo,2,22,0,11,9,2009,3,0,13,0,24,390,224,1390,6.87,0
Tsuru ni Notte: Tomoko no Bouken,4,139,1,44,-1,1993,3,0,1,0,27,41,21,134,6.35,0
Deimos no Hanayome: Ran no Kumikyoku,1,2,2,15,44,1988,3,0,1,0,32,121,171,739,5.66,0
Xanadu Dragonslayer Densetsu,0,3,2,17,11,1988,1,0,1,0,50,16,4,109,5.2,0
Utsunomiko: Heaven Chapter,0,3,2,17,0,1990,4,0,13,0,25,5,0,71,6.04,0
Koushoku Ichidai Otoko,5,118,2,44,41,1991,1,0,1,0,54,50,34,336,6.1,0
Neko Hiki no Oruorane,4,5,2,0,5,1992,4,0,1,0,30,62,22,227,6.27,0
Antique Heart,4,5,2,14,16,1988,2,0,1,0,29,22,10,114,5.52,0
Hoshi Neko Fullhouse,0,82,2,11,36,1989,2,0,4,0,30,11,5,100,5.83,0
Kigyou Senshi Yamazaki: Long Distance Call,0,346,2,22,44,1997,4,0,1,1,43,26,6,104,5.77,0
Hi no Ame ga Furu,4,139,1,44,40,1988,3,0,1,0,80,16,2,428,7.16,1
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,2,78,2,17,11,1990,3,0,1,0,48,25,21,129,5.55,0
Shiroi Kiba White Fang Monogatari,4,0,3,17,44,1982,2,0,1,0,73,23,11,127,6.33,0
Greed,2,203,2,17,0,1985,1,0,1,0,57,10,7,48,4.84,0
Animation Kikou: Marco Polo no Bouken,4,2,0,17,40,1979,2,0,43,0,20,1,0,62,6.1,0
Hashire! Shiroi Ookami,2,26,1,44,-1,1990,2,0,1,1,84,11,1,210,6.19,0
Onegai♪My Melody Kirara★,4,10,0,11,0,2008,2,0,52,0,20,1,0,110,6.62,0
Seiken no Blacksmith,0,42,0,34,17,2009,4,0,12,0,24,2776,1631,4747,6.7,0
Cross Game,2,100,0,37,11,2009,2,0,50,0,23,1743,169,3491,8.4,1
Element Hunters,4,179,0,37,21,2009,3,0,39,0,24,28,22,883,6.62,0
Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume,2,13,2,11,-1,2009,1,0,1,0,5,1375,572,1700,7.25,1
Mahou no Princess Minky Momo: Yume wo Dakishimete,4,38,0,15,-1,1991,4,0,62,0,24,4,0,144,6.71,0
Toaru Majutsu no Index-tan,2,5,3,11,47,2009,1,0,2,0,8,1116,785,1649,6.94,0
High School! Kimengumi (Movie),3,10,1,37,11,1986,3,0,1,0,50,7,2,41,6.02,0
Nyoro-n Churuya-san,4,25,4,11,-1,2009,1,0,13,0,2,708,974,1304,6.51,0
Sora no Otoshimono,2,69,0,37,11,2009,4,0,13,0,24,8096,3445,10025,7.31,1
Mizugi Kanojo The Animation,5,103,2,41,-1,2009,1,0,4,0,30,260,144,649,7.28,1
Metal Fight Beyblade,3,61,0,20,17,2009,2,0,51,0,25,147,119,399,6.79,0
